Species,Plant ID,stress level,Week,Treatment,Replication,Plant_Length (cm),No. of Leaves,leaf _Length (cm)
Araujia sericifera,Asc4,c,2,6,4,5,8,5.6
Araujia sericifera,Asc5,c,2,6,5,5.9,8,6.6
Solanum lycopersicum,Sls1,s,3,1,1,16.6,9,17
Solanum lycopersicum,Sls2,s,3,1,2,17.5,9,15
Solanum lycopersicum,Sls3,s,3,1,3,14,7,14
Solanum lycopersicum,Sls4,s,3,1,4,15,8,15.5
Solanum lycopersicum,Sls5,s,3,1,5,16.5,8,15.5
Solanum lycopersicum,Sli1,i,3,2,1,17.8,10,19.4
Solanum lycopersicum,Sli2,i,3,2,2,19.5,10,18.5
Solanum lycopersicum,Sli3,i,3,2,3,11,7,15
Solanum lycopersicum,Sli4,i,3,2,4,16,9,18
Solanum lycopersicum,Sli5,i,3,2,5,17.5,8,19
Solanum lycopersicum,Slc1,c,3,3,1,14,8,15.2
Solanum lycopersicum,Slc2,c,3,3,2,16,9,18.1
Solanum lycopersicum,Slc3,c,3,3,3,19.5,10,19
Solanum lycopersicum,Slc4,c,3,3,4,16.75,9,17.875
Solanum lycopersicum,Slc5,c,3,3,5,17.5,9,19.2
Araujia sericifera,Ass1,s,3,4,1,6,8,8.2
Araujia sericifera,Ass2,s,3,4,2,5,8,8.8
Araujia sericifera,Ass3,s,3,4,3,4,8,6.5
Araujia sericifera,Ass4,s,3,4,4,4.5,8,8.6
Araujia sericifera,Ass5,s,3,4,5,5.4,6,6
Araujia sericifera,Asi1,i,3,5,1,9,8,6.8
Araujia sericifera,Asi2,i,3,5,2,10,8,8.5
Araujia sericifera,Asi3,i,3,5,3,5.2,8,6
Araujia sericifera,Asi4,i,3,5,4,7,8,7.8
Araujia sericifera,Asi5,i,3,5,5,7.2,8,8
Araujia sericifera,Asc1,c,3,6,1,6.4,8,9
Araujia sericifera,Asc2,c,3,6,2,5,8,9
Araujia sericifera,Asc3,c,3,6,3,7,8,6.8
Araujia sericifera,Asc4,c,3,6,4,7,8,8.4
Araujia sericifera,Asc5,c,3,6,5,8.5,8,11
Solanum lycopersicum,Sls1,s,4,1,1,18,10,16.3
Solanum lycopersicum,Sls2,s,4,1,2,19.8,10,16.7
Solanum lycopersicum,Sls3,s,4,1,3,16.3,8,13.6
Solanum lycopersicum,Sls4,s,4,1,4,8.1,9,16.2
Solanum lycopersicum,Sls5,s,4,1,5,19,10,17.4
Solanum lycopersicum,Sli1,i,4,2,1,23.7,11,18.2
Solanum lycopersicum,Sli2,i,4,2,2,24.7,10,20.6
Solanum lycopersicum,Sli3,i,4,2,3,19.5,9,18.6
Solanum lycopersicum,Sli4,i,4,2,4,23,10,22.5
Solanum lycopersicum,Sli5,i,4,2,5,23.8,11,21.3
Solanum lycopersicum,Slc1,c,4,3,1,23,10,21.1
Solanum lycopersicum,Slc2,c,4,3,2,25.3,11,21.4
Solanum lycopersicum,Slc3,c,4,3,3,23.6,11,21.6
Solanum lycopersicum,Slc4,c,4,3,4,23.9,11,24.7
Solanum lycopersicum,Slc5,c,4,3,5,23.95,11,22.2
Araujia sericifera,Ass1,s,4,4,1,6.1,6,7.6
Araujia sericifera,Ass2,s,4,4,2,5.1,6,8
Araujia sericifera,Ass3,s,4,4,3,5.6,6,6
Araujia sericifera,Ass4,s,4,4,4,5.6,6,7.8
Araujia sericifera,Ass5,s,4,4,5,5.6,6,6.4
Araujia sericifera,Asi1,i,4,5,1,11.2,8,10
Araujia sericifera,Asi2,i,4,5,2,13,8,10
Araujia sericifera,Asi3,i,4,5,3,7.1,8,7.2
Araujia sericifera,Asi4,i,4,5,4,9.8,8,8.6
Araujia sericifera,Asi5,i,4,5,5,8.9,8,7.8
Araujia sericifera,Asc1,c,4,6,1,8.6,8,7.7
Araujia sericifera,Asc2,c,4,6,2,7.2,8,7.9
Araujia sericifera,Asc3,c,4,6,3,9.7,8,9.1
Araujia sericifera,Asc4,c,4,6,4,9.5,8,8.5
Araujia sericifera,Asc5,c,4,6,5,11.5,8,9
Solanum lycopersicum,Sls1,s,5,1,1,20.2,8,17.5
Solanum lycopersicum,Sls2,s,5,1,2,21.2,10,16
Solanum lycopersicum,Sls3,s,5,1,3,16.5,9,15.4
Solanum lycopersicum,Sls4,s,5,1,4,18.5,10,17.5
Solanum lycopersicum,Sls5,s,5,1,5,19.5,9,17.4
Solanum lycopersicum,Sli1,i,5,2,1,27,12,21
Solanum lycopersicum,Sli2,i,5,2,2,27.5,10,23.6
Solanum lycopersicum,Sli3,i,5,2,3,24.5,10,20
Solanum lycopersicum,Sli4,i,5,2,4,25.5,10,24
Solanum lycopersicum,Sli5,i,5,2,5,25,10,22.5
Solanum lycopersicum,Slc1,c,5,3,1,27.5,11,24
Solanum lycopersicum,Slc2,c,5,3,2,27.6,12,23
Solanum lycopersicum,Slc3,c,5,3,3,26.6,12,22.7
Solanum lycopersicum,Slc4,c,5,3,4,23.2,12,27.4
Solanum lycopersicum,Slc5,c,5,3,5,26.225,12,24.275
Araujia sericifera,Ass1,s,5,4,1,7,8,7.5
Araujia sericifera,Ass2,s,5,4,2,7,8,7.8
Araujia sericifera,Ass3,s,5,4,3,6.5,8,6.4
Araujia sericifera,Ass4,s,5,4,4,7,8,7.8
Araujia sericifera,Ass5,s,5,4,5,7,8,7
Araujia sericifera,Asi1,i,5,5,1,13,9,10.9
Araujia sericifera,Asi2,i,5,5,2,15.5,10,9.4
Araujia sericifera,Asi3,i,5,5,3,8.6,10,7.8
Araujia sericifera,Asi4,i,5,5,4,11.6,10,9.5
Araujia sericifera,Asi5,i,5,5,5,11.4,10,9.2
Araujia sericifera,Asc1,c,5,6,1,10.8,10,9.5
Araujia sericifera,Asc2,c,5,6,2,8,10,9
Araujia sericifera,Asc3,c,5,6,3,12.2,10,10.5
Araujia sericifera,Asc4,c,5,6,4,10.8,10,10
Araujia sericifera,Asc5,c,5,6,5,13.5,10,10.3
Solanum lycopersicum,Sls1,s,6,1,1,21.6,9,17.8
Solanum lycopersicum,Sls2,s,6,1,2,22.7,11,16.8
Solanum lycopersicum,Sls3,s,6,1,3,19,9,15.2
Solanum lycopersicum,Sls4,s,6,1,4,20,10,17
Solanum lycopersicum,Sls5,s,6,1,5,22.5,10,19.1
Solanum lycopersicum,Sli1,i,6,2,1,29,12,20.1
Solanum lycopersicum,Sli2,i,6,2,2,29.7,11,25.5
Solanum lycopersicum,Sli3,i,6,2,3,26.7,11,20.8
Solanum lycopersicum,Sli4,i,6,2,4,29,12,24
Solanum lycopersicum,Sli5,i,6,2,5,28.6,12,22.7
Solanum lycopersicum,Slc1,c,6,3,1,29,13,24.3
Solanum lycopersicum,Slc2,c,6,3,2,30.5,13,24.3
Solanum lycopersicum,Slc3,c,6,3,3,28,12,23
Solanum lycopersicum,Slc4,c,6,3,4,29,12,26.5
Solanum lycopersicum,Slc5,c,6,3,5,29.125,13,24.525
Araujia sericifera,Ass1,s,6,4,1,9,10,7.6
Araujia sericifera,Ass2,s,6,4,2,8,10,8
Araujia sericifera,Ass3,s,6,4,3,7.5,10,6.5
Araujia sericifera,Ass4,s,6,4,4,7.4,10,8
Araujia sericifera,Ass5,s,6,4,5,7.5,8,7.5
Araujia sericifera,Asi1,i,6,5,1,15,11,11
Araujia sericifera,Asi2,i,6,5,2,16.5,12,9.7
Araujia sericifera,Asi3,i,6,5,3,9.8,12,8
Araujia sericifera,Asi4,i,6,5,4,14.6,11,9.2
Araujia sericifera,Asi5,i,6,5,5,13.2,14,9.6
Araujia sericifera,Asc1,s,6,6,1,13,12,9.6
Araujia sericifera,Asc2,c,6,6,2,8.2,12,7.1
Araujia sericifera,Asc3,c,6,6,3,15.6,12,10.8
Araujia sericifera,Asc4,c,6,6,4,14,12,9.4
Araujia sericifera,Asc5,c,6,6,5,16.6,12,10.8
