Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
99,11383286,youngxx423,"2023-12-13 14:25:56",0.11720,8,youngxx423
100,11384779,吴浩楷真牛,"2023-12-12 09:54:30",0.11720,10,wuhaokai666
101,10940600,mrSanKeT03,"2023-12-30 20:24:23",0.11720,3,mrsanket03
102,11465289,Teazzzy,"2024-01-04 02:50:56",0.11720,4,teazzzy
103,11462968,moyamoya,"2024-01-04 16:47:32",0.11726,10,moyamoya
104,11507790,"Yun-Fei Liu","2024-01-23 15:13:36",0.11736,3,takualiu
105,8601334,Laszlore,"2023-12-31 17:10:15",0.11743,1,laszlore
106,11141516,"vica strachova","2023-12-14 22:04:49",0.11774,79,vicastrachova
107,11319872,typhoonwang,"2024-01-04 10:54:46",0.11779,61,typhoonwang
108,11387453,GermanJosePadua_UGR_IN,"2024-01-07 15:51:54",0.11788,23,germanpadua
109,11298906,TakamaruEX,"2024-01-12 15:15:26",0.11796,108,takamaruex
110,11371173,ChunanNick,"2023-12-10 14:33:18",0.11813,1,chunannick
111,11470051,Saverrrrr,"2024-01-04 18:13:13",0.11813,3,saverrrrr
112,11484922,Zi1c0o,"2024-01-24 18:05:52",0.11821,25,zi1c0o
113,11433710,"Alexander Merdian-Tarko","2024-01-04 20:06:58",0.11835,7,alexvmt
114,11027734,"Darren Aldrich","2023-11-27 04:12:22",0.11836,2,dardrich
115,11484600,RobotMonkeyButler,"2024-01-25 16:33:19",0.11838,18,robotmonkeybutler
116,10134031,"Thomas Nguyen #3","2023-12-10 06:34:11",0.11851,1,raresurvivor
117,11409104,"Walid Najjar","2024-01-21 07:25:17",0.11856,22,walidnajjar
118,11526519,"Alexandru Berindeie","2024-01-19 18:33:28",0.11856,5,alexandruberindeie
119,11519265,Bhokin,"2024-01-24 16:35:04",0.11857,5,bhokin
120,11504873,cbas5500,"2024-01-15 19:47:38",0.11857,17,cbas5500
121,11512762,"J A S","2024-01-22 09:56:08",0.11862,8,javieralfonsoseijas
122,11513138,CriolloDiego,"2024-01-15 18:14:10",0.11866,10,criollodiego
123,11273949,a72178,"2024-01-16 11:17:30",0.11868,38,a72178
124,11367942,srj2023110196,"2023-12-21 09:05:40",0.11876,4,srj2023110196
125,11504473,"Fabrizio Montoya Pinto ","2024-01-15 19:32:27",0.11886,32,fabriziomontoyapinto
126,2455571,Otodo,"2024-01-24 23:53:56",0.11888,56,toshinarikori
127,11114585,thedeepfish,"2024-01-01 18:04:23",0.11892,18,thedeepfish
128,10438353,"Ivo Kolarov","2024-01-07 09:27:36",0.11892,2,ivokolarov
129,11506741,"Mehmet Özer","2024-01-14 12:15:28",0.11897,2,ozermehmet
130,5911846,"Javier Reinoso","2024-01-13 15:51:57",0.11898,1,javierreinoso
131,11043019,shilokuma,"2023-12-06 04:34:33",0.11901,13,shilokuma
132,11559596,dsfhaudfbqisadbf,"2024-01-25 17:03:57",0.11901,4,dsfhaudfbqisadbf
133,11348944,"RiGa - learning AI","2024-01-17 09:46:58",0.11908,9,ritesh256
134,11452359,"Артём Гусаров","2024-01-14 13:34:30",0.11911,53,artemgusarov
135,11410452,KimSeongKyun,"2023-12-22 08:46:46",0.11915,11,kimseongkyun
136,11317771,QHua768,"2023-12-06 10:06:32",0.11917,1,qhua768
137,11487560,"Diego Criollo","2024-01-23 00:33:54",0.11920,21,diegocriollo
138,11324522,"Noah Robertz","2023-11-30 15:45:07",0.11922,5,noahrobertz
139,10810709,"Ren Xuanxuan","2024-01-02 08:17:12",0.11927,5,renxuanxuan
140,11457844,bruh65756498,"2024-01-02 04:04:28",0.11935,13,bruh65756498
141,11215827,USC20214490111,"2023-12-19 09:44:31",0.11946,5,makamalabaka
142,11449118,Majiaqi111,"2024-01-19 04:14:12",0.11946,4,majiaqi111
143,11349767,hydasdmnal,"2023-12-17 08:40:39",0.11946,3,hydasdmnal
144,11469455,"JinSheng Qian","2024-01-04 09:35:49",0.11946,1,jinshengqian
145,11383376,linsizheng,"2023-12-12 09:55:59",0.11946,10,linsizheng
146,11312267,"Shi Haitong's kaggle team","2023-11-28 04:27:19",0.11946,1,litewei
147,11383347,"[Deleted] 8874061d-9346-49d1-a0b4-1246934cfede","2023-12-12 00:55:10",0.11946,1,del=3d015afc6a63f202
148,11383316,Lnikooy,"2023-12-12 12:47:49",0.11946,6,lnikooy
149,11383507,ksjsjsjsn,"2023-12-12 12:36:39",0.11946,3,ksjsjsjsn
150,11383309,luoxiangan,"2023-12-12 12:33:54",0.11946,7,luoxiangan
151,11386252,Rocket_808,"2023-12-12 13:40:56",0.11946,1,rocket808
152,11405959,wpus1Zz,"2023-12-20 13:10:16",0.11946,1,wpus1zz
153,11449142,L2140739178,"2023-12-28 14:28:18",0.11946,1,l2140739178
154,11414066,lw2023110202,"2023-12-29 08:48:50",0.11946,4,lw2023110202
155,11452221,luruiquan,"2023-12-29 12:59:33",0.11946,1,luruiquan
156,11465400,BattelMelonKing,"2024-01-04 07:44:37",0.11946,4,battelmelonking
157,11469750,xxxdada,"2024-01-04 11:07:04",0.11946,3,xxxdada
158,11470916,zhuhuaxin,"2024-01-04 13:55:35",0.11946,1,zhuhuaxin
159,11484842,yyscgenx,"2024-01-10 01:46:21",0.11946,2,yyscgenx
160,11484782,Fdfhghk,"2024-01-09 10:12:21",0.11946,4,fgsrgs
161,11492607,wuzule123,"2024-01-10 01:59:22",0.11946,2,wuzule123
162,11414079,lxyCollin,"2023-12-23 05:25:13",0.11948,6,lxycollin
163,10956908,USC20214490104,"2023-12-01 06:30:17",0.11952,4,usc20214490104
164,11297771,做得都队7021,"2023-11-29 15:42:46",0.11953,17,"fin6751,mm6728,nomo7021,sxpyy7071"
165,11487559,"ANGIE MARIEL CENTENO CACERES","2024-01-15 01:28:16",0.11961,10,angie1920
166,11511340,ShantSS,"2024-01-15 20:40:18",0.11961,4,shantss
167,11487542,Fabio_Torres_Marinho,"2024-01-15 20:41:52",0.11961,4,fabiotorresmarinho
168,11512774,LiuWenBin0502,"2024-01-16 04:01:39",0.11963,11,liuwenbin0502
169,11508994,"Chengbin Zhou","2024-01-16 07:35:53",0.11963,5,chengbinzhou
170,11361619,bihai123,"2024-01-17 04:35:12",0.11964,6,bihai123
171,11337879,viopen,"2023-12-03 15:21:12",0.11964,1,yuanliang116
172,11469389,Just520,"2024-01-04 07:50:25",0.11964,3,just520
173,11442050,cwayee,"2023-12-29 07:08:02",0.11964,1,cwayee
174,11385723,huangguoyang,"2023-12-12 11:33:15",0.11964,1,huangguoyang
175,11453803,ZhaoDL,"2023-12-30 17:39:47",0.11964,1,zhaodl
176,11508074,"Favi Horna","2024-01-14 18:22:01",0.11966,5,favihorna
177,11518101,"Thammachath Sookpinij","2024-01-18 06:41:55",0.11971,11,thammachathsookpinij
178,11451120,"hear fool","2023-12-30 02:31:42",0.11974,9,hearfool
179,10858263,DONJJJ,"2024-01-04 04:28:02",0.11975,14,donjjj
180,11368541,hx.2023110204,"2023-12-08 14:48:11",0.11977,6,hx2023110204
181,11299280,xuworker,"2023-11-30 10:28:18",0.11982,2,xuworker
182,11378627,kyetsang,"2023-12-11 07:53:33",0.11982,1,kyetsang
183,11414648,"Mikhail Naumov","2024-01-17 11:18:22",0.11983,142,mikhailnaumov
184,11382320,koishi00,"2023-12-20 19:23:37",0.11986,43,koishi00
185,11353184,"Ying Fan","2024-01-22 16:18:57",0.11987,6,garfield2021
186,11521245,Gollumdagar,"2024-01-18 16:22:05",0.11993,2,anirudhdagar
187,9249993,"Alena Hrybanouskaya","2023-12-13 14:13:46",0.11994,1,alenahrybanouskaya
188,10565621,"Mesut S. Sisman","2024-01-14 22:57:33",0.11994,4,mesutssmn
189,11292877,MasahitoUmemeura,"2023-12-04 07:57:31",0.11994,1,masahitoumemeura
190,11529433,yping,"2024-01-20 08:22:34",0.11996,3,iyping
191,11262310,"George T","2024-01-01 19:21:05",0.11998,14,georget5
192,8499738,zhuhaifengaaa,"2023-12-28 06:17:03",0.11999,2,zhuhaifengaaa
193,11353976,"Mike Spehn","2024-01-10 01:02:15",0.12000,36,mikespehn
194,10982288,"nizar zerrad","2023-11-27 21:32:52",0.12000,1,nizarzed
195,11470907,KuboiYusuke,"2024-01-04 16:42:18",0.12001,3,kuboiyusuke
196,11457339,"[Deleted] ee8b61ea-d3e0-4305-82a0-2418bd8215ef","2024-01-01 16:12:45",0.12009,7,del=8f65a67458836294
197,11203854,"Anri Tvalabeishvili","2024-01-01 16:25:46",0.12009,1,anritvalabeishvili
198,11320031,charlote77,"2023-11-29 12:21:22",0.12010,1,charlote77
199,11414353,horsen,"2023-12-19 16:24:33",0.12010,1,whitehorsen
200,11481573,krj2023110189,"2024-01-07 10:39:48",0.12010,1,kuang2023110189
201,11483326,"Daria Belozor","2024-01-07 19:06:58",0.12010,1,dariabelozor
202,10991222,"Siddiqui_Ali (MAS)","2024-01-21 10:00:15",0.12010,14,siddiquialimas
203,11439540,Guidini,"2024-01-24 21:07:39",0.12010,4,guidini
204,11319192,Samh0ng,"2023-11-29 09:17:24",0.12010,2,samh0ng
205,11323142,HarryBoLinWu,"2023-11-30 03:46:55",0.12010,1,harrybolinwu
206,11343920,"Yang Wendi","2023-12-04 14:11:03",0.12010,1,yangwendi
207,10882347,"Mustafa Açıkyol","2023-12-12 17:34:02",0.12010,1,mustafaacikyol
208,11451469,Dsh_2023110212,"2024-01-04 11:53:53",0.12010,1,dsh2023110212
209,8480725,naiveJeremy,"2024-01-23 01:49:04",0.12010,4,naivejeremy
210,11490243,"Aliya Pirzada","2024-01-22 12:06:13",0.12010,7,aliyapirzada
211,11019600,"The R Analyzers","2023-11-27 00:00:50",0.12010,1,"adityakale976,charanrajreddy,subhashithreddy"
212,11330921,wanana20,"2023-12-21 11:36:35",0.12011,11,wanana20
213,4570324,"Kenta ARAI","2023-12-10 14:15:04",0.12011,4,kentaarai
214,11318115,Ran_5555,"2024-01-18 08:50:09",0.12011,10,ran5555
215,11338438,"Talha Eryasar","2023-12-15 09:23:28",0.12011,1,talhaeryasar
216,11403885,Bons1110,"2023-12-31 18:52:57",0.12011,4,bons1110
217,11357299,ekkosarevskaya,"2023-12-06 13:10:00",0.12011,1,ekkosarevskaya
218,11214665,"Nisarg Shah #2","2023-12-07 22:05:41",0.12011,1,shahnisarg10
219,11126602,"Bruno Pereira Ferreira","2023-12-13 05:05:41",0.12011,3,brunopereiraferreira
220,10593471,モモンガ,"2024-01-23 10:05:05",0.12011,1,momongataisa
221,10635798,"Russell Wiraharjo","2023-12-08 11:18:10",0.12013,4,russellwiraharjo
222,11406567,"Abdurashitov Omur","2023-12-17 15:02:16",0.12013,1,abdurashitovomur
223,10685644,"Nursultan Kurmanbekov","2023-12-17 15:15:16",0.12013,1,nursultankurmanbekov
224,11446708,WBXG,"2024-01-05 20:52:04",0.12015,6,linqi07
225,11522328,TwaqNgu,"2024-01-17 20:42:31",0.12024,3,pustot
226,11284631,USC20214490127,"2023-12-19 05:21:16",0.12025,2,usc20214490127
227,11512007,"guowei shi","2024-01-16 09:41:11",0.12028,8,guoweishi
228,11515003,RogueDisaster,"2024-01-16 19:26:06",0.12029,2,roguedisaster
229,11290464,"Burhan Yıldız","2023-12-04 13:15:41",0.12030,12,yldzburhan
230,5858367,"Hiroshi Sakiyama","2023-12-31 05:08:51",0.12032,4,hiroshisakiyama
231,10905311,"William Chettleburgh","2023-11-28 17:25:44",0.12034,1,willchet
232,10803350,"Aleksei Zabirnik","2024-01-03 13:01:32",0.12034,3,alekseizabirnik
233,11469517,lzj1234,"2024-01-04 03:29:49",0.12039,2,lzj1234
234,11336129,tanaka-a-tanaka,"2023-12-15 00:57:41",0.12040,3,tanakaatanaka
235,11511168,MarkT7,"2024-01-15 06:51:44",0.12043,10,markt7
236,11325603,marmelada,"2023-11-30 13:46:27",0.12043,1,marmelada
237,11120319,tanaka-naoto,"2023-12-07 12:10:00",0.12047,23,tanakanaoto
238,11455733,"yudai yamashita","2023-12-30 19:06:50",0.12053,1,yudaiyamashita
239,11348082,"Klein kaggle","2023-12-14 01:31:55",0.12056,15,kleinkaggle
240,11338309,"Adil Ilfatovich","2023-12-03 13:37:02",0.12058,1,adililfatovich
241,11465301,Kennyxwf,"2024-01-04 06:35:25",0.12059,8,kennyxwf
242,11465315,"Melissa #5","2024-01-25 05:07:14",0.12062,27,melxtan
243,11334443,Ethanyongg,"2024-01-02 14:43:17",0.12063,16,ethanyongg
244,11325405,CintiaSerban,"2023-11-30 15:00:47",0.12063,1,cintiaserban
245,11232116,"Viacheslav Pavlov","2023-12-02 14:14:10",0.12064,1,viacheslavpavlov
246,11248364,"Aitor Mentxaka","2023-12-04 01:40:12",0.12065,7,aitormentxaka
247,11335964,"Bensalem Ryan","2023-12-03 21:21:31",0.12070,6,bensalemryan
248,7929472,ryuunosuke,"2024-01-07 06:52:44",0.12070,12,ryuunosuke
249,11113435,a574054939,"2023-11-28 18:34:22",0.12074,2,a574054939
250,11344333,"divyam kalwar","2023-12-09 06:38:59",0.12076,3,divyamkalwar
251,11189080,"HONG, ZI-QING","2024-01-02 03:35:54",0.12076,7,hongziqing
252,11198319,"Yagiz Erdem","2023-12-11 09:59:32",0.12076,11,yagizerdem
253,11517421,"Cheng ZHENG","2024-01-20 12:10:38",0.12076,2,zhengpq
254,11337480,powder1079~~~,"2023-12-03 09:59:52",0.12076,1,powder1079
255,11475739,mame_fuku,"2024-01-13 11:56:31",0.12079,7,sachiomo
256,11401329,CHAIWONHO,"2023-12-23 02:19:23",0.12079,15,chaiwonho
257,11394238,"Gedeon Máté","2023-12-22 10:13:24",0.12080,6,gedeonmate
258,11300781,egeo,"2024-01-01 18:11:15",0.12081,13,onurgulec
259,11257871,好好好,"2024-01-02 13:43:33",0.12082,1,"cemhwkkk,kelvon,skschic,yinhengli203203"
260,11159652,"Viraj Mohile","2024-01-23 17:33:35",0.12084,19,virajmohile
261,11303040,"Семён Суворов","2023-12-08 16:19:12",0.12086,3,lksdjflhsf
262,11379784,xuruixr20,"2023-12-12 08:17:12",0.12091,3,xuruixr20
263,8087563,kyohei_kawaguchi,"2024-01-01 06:24:20",0.12093,13,kyoheikawaguchi
264,11478315,SlackerC,"2024-01-09 12:24:07",0.12093,15,slackerc
265,11464957,"Abdul Rahman Aziz","2024-01-19 02:30:46",0.12098,3,abdulrahmanaziz1
266,8606406,Willmor,"2023-12-20 13:51:26",0.12099,1,williammorath
267,8591529,yukeyi,"2024-01-19 05:01:21",0.12100,16,yukeyi2
268,9209008,ksyu_ha,"2024-01-13 15:55:51",0.12101,10,ksyuha
269,7096612,sarabara,"2023-11-27 18:36:36",0.12102,9,sarabara
270,11138120,dariakaiz,"2023-11-28 05:55:37",0.12102,6,dariakaiz
271,11495224,"Adrien Chllt","2024-01-10 14:37:10",0.12103,1,adrienchllt
272,11388821,"Saul Grimaldo","2023-12-22 08:15:59",0.12103,6,saulgrimaldo
273,8841371,DingChen@123,"2024-01-02 00:01:46",0.12105,1,dingchen123
274,11294546,"Hamed ZAYET","2023-11-30 22:02:23",0.12108,6,hamedzayet
275,11365161,"Vladislav Papenkin","2023-12-10 18:55:15",0.12112,3,vladislavpapenkin
276,11077215,"Yuichi #2","2023-12-10 07:52:53",0.12112,5,yuichifurutake
277,11308369,MasatoGotokame,"2023-11-29 02:35:53",0.12114,3,masatogotokame
278,11310389,swathidataenginner,"2023-11-28 09:58:58",0.12115,2,swathidataenginner
279,11500848,"Diego Veramendi","2024-01-15 17:12:22",0.12116,15,diegoveramendi
280,11443956,"Huy G. Bui ","2024-01-04 11:35:25",0.12119,27,huygbui
281,11490228,littleSlackerC,"2024-01-09 13:43:20",0.12121,9,littleslackerc
282,11109800,"Hoang Tien Anh","2024-01-23 06:25:17",0.12122,3,tienanh2003
283,8820586,"Zilong Li0242","2023-12-06 13:45:11",0.12123,1,zilongli0242
284,6914106,"Ayoub Chouikha","2023-11-29 13:41:24",0.12125,3,ayoubchouikha
285,9006695,"Omar Khankishiev","2023-12-27 15:10:26",0.12125,1,omarkhankishiev
286,10024687,"Akash #19","2024-01-13 12:05:12",0.12125,1,akashhiremath25
287,11290595,"Mesut Duman","2023-11-27 21:05:23",0.12126,8,dumanmesut
288,11266775,"Yuting Huang(Clement)","2023-12-03 06:53:54",0.12126,2,yutinghuangclement
289,11360580,goodboy1819,"2023-12-07 05:43:57",0.12126,5,goodboy1819
290,11383396,yun1579,"2023-12-12 14:27:14",0.12128,7,yun1579
291,11466339,xiaowanglin,"2024-01-03 09:42:12",0.12128,1,xiaowanglin
292,10966580,"Shivank Vishwakarma","2024-01-24 20:59:06",0.12128,5,shivankv098
293,11200304,yuting333316,"2024-01-05 15:06:22",0.12129,2,yuting333316
294,11194440,"XIE,MING-JIN","2023-12-22 14:30:05",0.12130,28,jim171015
295,11499048,"Twarebireho Victor","2024-01-17 17:32:05",0.12130,7,twarebirehovictor
296,11330896,"Djatcha Franck","2023-12-01 18:55:51",0.12130,1,djatchafranck
297,11501468,AnanthS09,"2024-01-12 04:38:04",0.12130,1,ananths09
298,11463060,zhanzhan0762,"2024-01-15 02:45:55",0.12130,4,zhanzhan0762
299,11450562,zhouhang,"2023-12-29 08:41:07",0.12130,1,zhouhanghang
300,11401319,"Brian Stevenson","2023-12-16 02:10:02",0.12131,1,brianstevenson
301,11356986,M.Kito,"2024-01-20 02:18:22",0.12132,28,mk1749
302,11511131,szsh,"2024-01-22 07:57:12",0.12132,22,"hyq2077237,janeovo"
303,11194451,"MinZhao Hsiao","2023-12-21 17:48:09",0.12133,7,minzhaohsiao
304,11393958,werger,"2024-01-20 12:16:13",0.12139,16,werger
305,11400845,Gammera,"2024-01-01 01:04:41",0.12139,32,gammera
306,11308525,"Ilya Steellerz","2023-11-30 20:49:26",0.12139,5,ilyasteellerz
307,11315735,"Fabrice Gentot","2024-01-15 12:03:23",0.12141,76,fabricegentot
308,11268454,"Kamala Pousajja","2024-01-17 21:05:30",0.12142,26,kamalapousajja
309,10188282,"Delikan Sapmaz","2024-01-21 19:10:39",0.12142,8,delikansapmaz
310,9297783,"Atif Suhail","2024-01-10 09:55:40",0.12145,1,atifsuhail
311,10753831,berti5,"2024-01-04 01:13:09",0.12150,1,berti5
312,11482842,Shreeniorton,"2024-01-23 09:59:27",0.12151,4,shreeniorton
313,11289595,"Rin Sato","2023-11-27 18:03:30",0.12152,1,rinsato
314,11305698,"Ruchuan Liang","2023-11-27 06:43:20",0.12152,1,ruchuanl
315,11384192,"Sui Jiayun","2023-12-21 07:23:04",0.12154,49,suijiayun
316,11110630,"Out of Time","2023-12-23 15:47:04",0.12155,10,outoftime
317,11525711,acplus,"2024-01-19 14:28:45",0.12158,4,acplus
318,11514309,"Rami Andari","2024-01-23 14:38:53",0.12158,7,ramiandari
319,11345900,emylungu,"2023-12-10 17:22:53",0.12159,2,emylungu
320,11426927,"Jeremy Kent","2023-12-21 23:59:45",0.12161,4,jeremykent
321,11071764,GKaseki,"2023-12-07 05:00:40",0.12161,53,gkaseki
322,3113129,kntst0211,"2024-01-03 08:43:44",0.12163,2,saitokentaro0211
323,11469950,rhinogobius,"2024-01-08 07:59:25",0.12163,1,rhinogobius
